GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:0010701	positive regulation of norepinephrine se...	NA	NA	0.85365	1	1
GO:0010716	negative regulation of extracellular mat...	NA	NA	0.85365	1	1
GO:0010845	positive regulation of reciprocal meioti...	NA	NA	0.85365	1	1
GO:0010916	negative regulation of very-low-density ...	NA	NA	0.85365	1	1
GO:0014005	microglia development	NA	NA	0.85365	1	1
GO:0014028	notochord formation	NA	NA	0.85365	1	1
GO:0014054	positive regulation of gamma-aminobutyri...	NA	NA	0.85365	1	1
GO:0015770	sucrose transport	NA	NA	0.85365	1	1
GO:0015847	putrescine transport	NA	NA	0.85365	1	1
GO:0015861	cytidine transport	NA	NA	0.85365	1	1
GO:0016560	protein import into peroxisome matrix, d...	NA	NA	0.85365	1	1
GO:0016561	protein import into peroxisome matrix, t...	NA	NA	0.85365	1	1
GO:0018894	dibenzo-p-dioxin metabolic process	NA	NA	0.85365	1	1
GO:0021615	glossopharyngeal nerve morphogenesis	NA	NA	0.85365	1	1
GO:0021682	nerve maturation	NA	NA	0.85365	1	1
GO:0021942	radial glia guided migration of Purkinje...	NA	NA	0.85365	1	1
GO:0030951	establishment or maintenance of microtub...	NA	NA	0.85365	1	1
GO:0031587	positive regulation of inositol 1,4,5-tr...	NA	NA	0.85365	1	1
GO:0032185	septin cytoskeleton organization	NA	NA	0.85365	1	1
GO:0032286	central nervous system myelin maintenanc...	NA	NA	0.85365	1	1
GO:0032430	positive regulation of phospholipase A2 ...	NA	NA	0.85365	1	1
GO:0032461	positive regulation of protein oligomeri...	NA	NA	0.85365	1	1
GO:0033141	positive regulation of peptidyl-serine p...	NA	NA	0.85365	1	1
GO:0033686	positive regulation of luteinizing hormo...	NA	NA	0.85365	1	1
GO:0034021	response to silicon dioxide	NA	NA	0.85365	1	1
GO:0034201	response to oleic acid	NA	NA	0.85365	1	1
GO:0034229	ethanolamine transport	NA	NA	0.85365	1	1
GO:0035340	inosine transport	NA	NA	0.85365	1	1
GO:0035799	ureter maturation	NA	NA	0.85365	1	1
GO:0035822	gene conversion	NA	NA	0.85365	1	1
GO:0035880	embryonic nail plate morphogenesis	NA	NA	0.85365	1	1
GO:0036114	medium-chain fatty-acyl-CoA catabolic pr...	NA	NA	0.85365	1	1
GO:0036155	acylglycerol acyl-chain remodeling	NA	NA	0.85365	1	1
GO:0036378	calcitriol biosynthetic process from cal...	NA	NA	0.85365	1	1
GO:0038157	granulocyte-macrophage colony-stimulatin...	NA	NA	0.85365	1	1
GO:0038165	oncostatin-M-mediated signaling pathway	NA	NA	0.85365	1	1
GO:0042023	DNA endoreduplication	NA	NA	0.85365	1	1
GO:0042376	phylloquinone catabolic process	NA	NA	0.85365	1	1
GO:0042732	D-xylose metabolic process	NA	NA	0.85365	1	1
GO:0043137	DNA replication, removal of RNA primer	NA	NA	0.85365	1	1
GO:0043315	positive regulation of neutrophil degran...	NA	NA	0.85365	1	1
GO:0043474	pigment metabolic process involved in pi...	NA	NA	0.85365	1	1
GO:0043503	skeletal muscle fiber adaptation	NA	NA	0.85365	1	1
GO:0044245	polysaccharide digestion	NA	NA	0.85365	1	1
GO:0044726	epigenetic programing of female pronucle...	NA	NA	0.85365	1	1
GO:0045163	clustering of voltage-gated potassium ch...	NA	NA	0.85365	1	1
GO:0045608	negative regulation of inner ear auditor...	NA	NA	0.85365	1	1
GO:0045938	positive regulation of circadian sleep/w...	NA	NA	0.85365	1	1
GO:0045950	negative regulation of mitotic recombina...	NA	NA	0.85365	1	1
GO:0046167	glycerol-3-phosphate biosynthetic proces...	NA	NA	0.85365	1	1
GO:0046314	phosphocreatine biosynthetic process	NA	NA	0.85365	1	1
GO:0046338	phosphatidylethanolamine catabolic proce...	NA	NA	0.85365	1	1
GO:0048133	male germ-line stem cell asymmetric divi...	NA	NA	0.85365	1	1
GO:0048295	positive regulation of isotype switching...	NA	NA	0.85365	1	1
GO:0048808	male genitalia morphogenesis	NA	NA	0.85365	1	1
GO:0048861	leukemia inhibitory factor signaling pat...	NA	NA	0.85365	1	1
GO:0048936	peripheral nervous system neuron axonoge...	NA	NA	0.85365	1	1
GO:0050893	sensory processing	NA	NA	0.85365	1	1
GO:0050914	sensory perception of salty taste	NA	NA	0.85365	1	1
GO:0050976	detection of mechanical stimulus involve...	NA	NA	0.85365	1	1
GO:0051296	establishment of meiotic spindle orienta...	NA	NA	0.85365	1	1
GO:0051387	negative regulation of neurotrophin TRK ...	NA	NA	0.85365	1	1
GO:0051461	positive regulation of corticotropin sec...	NA	NA	0.85365	1	1
GO:0051562	negative regulation of mitochondrial cal...	NA	NA	0.85365	1	1
GO:0051754	meiotic sister chromatid cohesion, centr...	NA	NA	0.85365	1	1
GO:0051835	positive regulation of synapse structura...	NA	NA	0.85365	1	1
GO:0051936	gamma-aminobutyric acid reuptake	NA	NA	0.85365	1	1
GO:0060025	regulation of synaptic activity	NA	NA	0.85365	1	1
GO:0060061	Spemann organizer formation	NA	NA	0.85365	1	1
GO:0060157	urinary bladder development	NA	NA	0.85365	1	1
GO:0060364	frontal suture morphogenesis	NA	NA	0.85365	1	1
GO:0060414	aorta smooth muscle tissue morphogenesis	NA	NA	0.85365	1	1
GO:0060665	regulation of branching involved in sali...	NA	NA	0.85365	1	1
GO:0060686	negative regulation of prostatic bud for...	NA	NA	0.85365	1	1
GO:0060750	epithelial cell proliferation involved i...	NA	NA	0.85365	1	1
GO:0060763	mammary duct terminal end bud growth	NA	NA	0.85365	1	1
GO:0061055	myotome development	NA	NA	0.85365	1	1
GO:0061073	ciliary body morphogenesis	NA	NA	0.85365	1	1
GO:0061141	lung ciliated cell differentiation	NA	NA	0.85365	1	1
GO:0061357	positive regulation of Wnt protein secre...	NA	NA	0.85365	1	1
GO:0061551	trigeminal ganglion development	NA	NA	0.85365	1	1
GO:0061589	calcium activated phosphatidylserine scr...	NA	NA	0.85365	1	1
GO:0070384	Harderian gland development	NA	NA	0.85365	1	1
GO:0070634	transepithelial ammonium transport	NA	NA	0.85365	1	1
GO:0071205	protein localization to juxtaparanode re...	NA	NA	0.85365	1	1
GO:0071279	cellular response to cobalt ion	NA	NA	0.85365	1	1
GO:0071477	cellular hypotonic salinity response	NA	NA	0.85365	1	1
GO:0071504	cellular response to heparin	NA	NA	0.85365	1	1
GO:0072086	specification of loop of Henle identity	NA	NA	0.85365	1	1
GO:0072107	positive regulation of ureteric bud form...	NA	NA	0.85365	1	1
GO:0072108	positive regulation of mesenchymal to ep...	NA	NA	0.85365	1	1
GO:0072289	metanephric nephron tubule formation	NA	NA	0.85365	1	1
GO:0072560	type B pancreatic cell maturation	NA	NA	0.85365	1	1
GO:0072734	cellular response to staurosporine	NA	NA	0.85365	1	1
GO:0090290	positive regulation of osteoclast prolif...	NA	NA	0.85365	1	1
GO:0097029	mature conventional dendritic cell diffe...	NA	NA	0.85365	1	1
GO:0097491	sympathetic neuron projection guidance	NA	NA	0.85365	1	1
GO:0097492	sympathetic neuron axon guidance	NA	NA	0.85365	1	1
GO:0098967	exocytic insertion of neurotransmitter r...	NA	NA	0.85365	1	1
GO:0110135	Norrin signaling pathway	NA	NA	0.85365	1	1
GO:0120045	stereocilium maintenance	NA	NA	0.85365	1	1
GO:0140916	zinc ion import into lysosome	NA	NA	0.85365	1	1
GO:0140928	inhibition of non-skeletal tissue minera...	NA	NA	0.85365	1	1
GO:0141166	chromosomal 5-methylcytosine DNA demethy...	NA	NA	0.85365	1	1
GO:1900108	negative regulation of nodal signaling p...	NA	NA	0.85365	1	1
GO:1900194	negative regulation of oocyte maturation	NA	NA	0.85365	1	1
GO:1900451	positive regulation of glutamate recepto...	NA	NA	0.85365	1	1
GO:1900738	positive regulation of phospholipase C-a...	NA	NA	0.85365	1	1
GO:1900825	regulation of membrane depolarization du...	NA	NA	0.85365	1	1
GO:1901687	glutathione derivative biosynthetic proc...	NA	NA	0.85365	1	1
GO:1902723	negative regulation of skeletal muscle s...	NA	NA	0.85365	1	1
GO:1902731	negative regulation of chondrocyte proli...	NA	NA	0.85365	1	1
GO:1902995	positive regulation of phospholipid effl...	NA	NA	0.85365	1	1
GO:1903716	guanine transmembrane transport	NA	NA	0.85365	1	1
GO:1903845	negative regulation of cellular response...	NA	NA	0.85365	1	1
GO:1903852	positive regulation of cristae formation	NA	NA	0.85365	1	1
GO:1903942	positive regulation of respiratory gaseo...	NA	NA	0.85365	1	1
GO:1904071	presynaptic active zone assembly	NA	NA	0.85365	1	1
GO:1904151	positive regulation of microglial cell m...	NA	NA	0.85365	1	1
GO:1904273	L-alanine import across plasma membrane	NA	NA	0.85365	1	1
GO:1904506	negative regulation of telomere maintena...	NA	NA	0.85365	1	1
GO:1904550	response to arachidonate	NA	NA	0.85365	1	1
GO:1904783	positive regulation of NMDA glutamate re...	NA	NA	0.85365	1	1
GO:1990079	cartilage homeostasis	NA	NA	0.85365	1	1
GO:1990790	response to glial cell derived neurotrop...	NA	NA	0.85365	1	1
GO:1990926	short-term synaptic potentiation	NA	NA	0.85365	1	1
GO:1990963	establishment of blood-retinal barrier	NA	NA	0.85365	1	1
GO:2000346	negative regulation of hepatocyte prolif...	NA	NA	0.85365	1	1
GO:2000418	positive regulation of eosinophil migrat...	NA	NA	0.85365	1	1
GO:2000552	negative regulation of T-helper 2 cell c...	NA	NA	0.85365	1	1
GO:2000741	positive regulation of mesenchymal stem ...	NA	NA	0.85365	1	1
GO:2001206	positive regulation of osteoclast develo...	NA	NA	0.85365	1	1
GO:2001268	negative regulation of cysteine-type end...	NA	NA	0.85365	1	1
GO:2001301	lipoxin biosynthetic process	NA	NA	0.85365	1	1
GO:0014856	skeletal muscle cell proliferation	NA	NA	0.85365	1	1
GO:0006701	progesterone biosynthetic process	NA	NA	0.85365	1	1
GO:0014832	urinary bladder smooth muscle contractio...	NA	NA	0.85365	1	1
GO:0034197	triglyceride transport	NA	NA	0.85365	1	1
GO:0036022	limb joint morphogenesis	NA	NA	0.85365	1	1
GO:0051599	response to hydrostatic pressure	NA	NA	0.85365	1	1
GO:0003208	cardiac ventricle morphogenesis	NA	NA	0.85365	1	1
GO:0006047	UDP-N-acetylglucosamine metabolic proces...	NA	NA	0.85365	1	1
GO:0021892	cerebral cortex GABAergic interneuron di...	NA	NA	0.85366	1	1
GO:0090184	positive regulation of kidney developmen...	NA	NA	0.85366	1	1
GO:0097113	AMPA glutamate receptor clustering	NA	NA	0.85366	1	1
GO:1904338	regulation of dopaminergic neuron differ...	NA	NA	0.85366	1	1
GO:0001826	inner cell mass cell differentiation	NA	NA	0.85367	1	1
GO:0046469	platelet activating factor metabolic pro...	NA	NA	0.85367	1	1
GO:0051823	regulation of synapse structural plastic...	NA	NA	0.85367	1	1
GO:0072033	renal vesicle formation	NA	NA	0.85367	1	1
GO:0021871	forebrain regionalization	NA	NA	0.85368	1	1
GO:0061370	testosterone biosynthetic process	NA	NA	0.85368	1	1
GO:1904238	pericyte cell differentiation	NA	NA	0.85368	1	1
GO:1905603	regulation of blood-brain barrier permea...	NA	NA	0.85369	1	1
GO:0060442	branching involved in prostate gland mor...	NA	NA	0.8537	1	1
GO:0051124	synaptic assembly at neuromuscular junct...	NA	NA	0.85371	1	1
GO:0006949	syncytium formation	NA	NA	0.85372	1	1
GO:1905517	macrophage migration	NA	NA	0.85373	1	1
GO:0090036	regulation of protein kinase C signaling	NA	NA	0.85373	1	1
GO:0051583	dopamine uptake involved in synaptic tra...	NA	NA	0.85374	1	1
GO:0120192	tight junction assembly	NA	NA	0.85375	1	1
GO:0031664	regulation of lipopolysaccharide-mediate...	NA	NA	0.85375	1	1
GO:0003413	chondrocyte differentiation involved in ...	NA	NA	0.85375	1	1
GO:0038065	collagen-activated signaling pathway	NA	NA	0.85375	1	1
GO:0072498	embryonic skeletal joint development	NA	NA	0.85375	1	1
GO:0032677	regulation of interleukin-8 production	NA	NA	0.85377	1	1
GO:0042749	regulation of circadian sleep/wake cycle	NA	NA	0.85378	1	1
GO:0046883	regulation of hormone secretion	NA	NA	0.85381	1	1
GO:0051180	vitamin transport	NA	NA	0.85383	1	1
GO:0034109	homotypic cell-cell adhesion	NA	NA	0.85385	1	1
GO:0061041	regulation of wound healing	NA	NA	0.85393	1	1
GO:0090181	regulation of cholesterol metabolic proc...	NA	NA	0.85396	1	1
GO:0045026	plasma membrane fusion	NA	NA	0.854	1	1
GO:0097242	amyloid-beta clearance	NA	NA	0.854	1	1
GO:0060350	endochondral bone morphogenesis	NA	NA	0.85402	1	1
GO:0016079	synaptic vesicle exocytosis	NA	NA	0.85418	1	1
GO:0055008	cardiac muscle tissue morphogenesis	NA	NA	0.85432	1	1
GO:0006865	amino acid transport	NA	NA	0.85437	1	1
GO:0033033	negative regulation of myeloid cell apop...	NA	NA	0.85438	1	1
GO:0048712	negative regulation of astrocyte differe...	NA	NA	0.85446	1	1
GO:0033540	fatty acid beta-oxidation using acyl-CoA...	NA	NA	0.85448	1	1
GO:0060712	spongiotrophoblast layer development	NA	NA	0.85448	1	1
GO:0098911	regulation of ventricular cardiac muscle...	NA	NA	0.85448	1	1
GO:0009950	dorsal/ventral axis specification	NA	NA	0.85451	1	1
GO:0006183	GTP biosynthetic process	NA	NA	0.85453	1	1
GO:0009812	flavonoid metabolic process	NA	NA	0.85453	1	1
GO:0010248	establishment or maintenance of transmem...	NA	NA	0.85453	1	1
GO:0010459	negative regulation of heart rate	NA	NA	0.85453	1	1
GO:0010807	regulation of synaptic vesicle priming	NA	NA	0.85453	1	1
GO:0030210	heparin biosynthetic process	NA	NA	0.85453	1	1
GO:0032836	glomerular basement membrane development	NA	NA	0.85453	1	1
GO:0046940	nucleoside monophosphate phosphorylation	NA	NA	0.85453	1	1
GO:0071492	cellular response to UV-A	NA	NA	0.85453	1	1
GO:0072015	podocyte development	NA	NA	0.85453	1	1
GO:0090009	primitive streak formation	NA	NA	0.85453	1	1
GO:0003209	cardiac atrium morphogenesis	NA	NA	0.85457	1	1
GO:0048935	peripheral nervous system neuron develop...	NA	NA	0.85457	1	1
GO:0046887	positive regulation of hormone secretion	NA	NA	0.85494	1	1
GO:0070509	calcium ion import	NA	NA	0.85501	1	1
GO:0002526	acute inflammatory response	NA	NA	0.85545	1	1
GO:0060047	heart contraction	NA	NA	0.85588	1	1
GO:0040018	positive regulation of multicellular org...	NA	NA	0.86688	1	1
GO:0007498	mesoderm development	NA	NA	0.86725	1	1
GO:0015701	bicarbonate transport	NA	NA	0.86739	1	1
GO:1905606	regulation of presynapse assembly	NA	NA	0.86739	1	1
GO:0060173	limb development	NA	NA	0.86741	1	1
GO:1903829	positive regulation of protein localizat...	NA	NA	0.86856	1	1
GO:0023019	signal transduction involved in regulati...	NA	NA	0.86903	1	1
GO:0098719	sodium ion import across plasma membrane	NA	NA	0.86903	1	1
GO:0050482	arachidonate secretion	NA	NA	0.86921	1	1
GO:0021983	pituitary gland development	NA	NA	0.86948	1	1
GO:0042476	odontogenesis	NA	NA	0.86997	1	1
GO:0007417	central nervous system development	NA	NA	0.87018	1	1
GO:0061061	muscle structure development	NA	NA	0.87119	1	1
GO:0098655	monoatomic cation transmembrane transpor...	NA	NA	0.8712	1	1
GO:0009743	response to carbohydrate	NA	NA	0.87148	1	1
GO:0090068	positive regulation of cell cycle proces...	NA	NA	0.87161	1	1
GO:0010881	regulation of cardiac muscle contraction...	NA	NA	0.87182	1	1
GO:0021782	glial cell development	NA	NA	0.87206	1	1
GO:0009948	anterior/posterior axis specification	NA	NA	0.8722	1	1
GO:0060396	growth hormone receptor signaling pathwa...	NA	NA	0.8726	1	1
GO:0097028	dendritic cell differentiation	NA	NA	0.87261	1	1
GO:0015936	coenzyme A metabolic process	NA	NA	0.87271	1	1
GO:0021680	cerebellar Purkinje cell layer developme...	NA	NA	0.87279	1	1
GO:0048311	mitochondrion distribution	NA	NA	0.8728	1	1
GO:0098883	synapse pruning	NA	NA	0.87283	1	1
GO:0051354	negative regulation of oxidoreductase ac...	NA	NA	0.87284	1	1
GO:0010894	negative regulation of steroid biosynthe...	NA	NA	0.87285	1	1
GO:0046322	negative regulation of fatty acid oxidat...	NA	NA	0.87286	1	1
GO:0048644	muscle organ morphogenesis	NA	NA	0.87289	1	1
GO:0072205	metanephric collecting duct development	NA	NA	0.87289	1	1
GO:0015824	proline transport	NA	NA	0.8729	1	1
GO:0001561	fatty acid alpha-oxidation	NA	NA	0.87291	1	1
GO:0002232	leukocyte chemotaxis involved in inflamm...	NA	NA	0.87291	1	1
GO:0003360	brainstem development	NA	NA	0.87291	1	1
GO:0003406	retinal pigment epithelium development	NA	NA	0.87291	1	1
GO:0006548	L-histidine catabolic process	NA	NA	0.87291	1	1
GO:0006651	diacylglycerol biosynthetic process	NA	NA	0.87291	1	1
GO:0007077	mitotic nuclear membrane disassembly	NA	NA	0.87291	1	1
GO:0007197	adenylate cyclase-inhibiting G protein-c...	NA	NA	0.87291	1	1
GO:0007217	tachykinin receptor signaling pathway	NA	NA	0.87291	1	1
GO:0010757	negative regulation of plasminogen activ...	NA	NA	0.87291	1	1
GO:0010898	positive regulation of triglyceride cata...	NA	NA	0.87291	1	1
GO:0010923	negative regulation of phosphatase activ...	NA	NA	0.87291	1	1
GO:0030916	otic vesicle formation	NA	NA	0.87291	1	1
GO:0032289	central nervous system myelin formation	NA	NA	0.87291	1	1
GO:0032714	negative regulation of interleukin-5 pro...	NA	NA	0.87291	1	1
GO:0034775	glutathione transmembrane transport	NA	NA	0.87291	1	1
GO:0048702	embryonic neurocranium morphogenesis	NA	NA	0.87291	1	1
GO:0051026	chiasma assembly	NA	NA	0.87291	1	1
GO:0060022	hard palate development	NA	NA	0.87291	1	1
GO:0060729	intestinal epithelial structure maintena...	NA	NA	0.87291	1	1
GO:0070086	ubiquitin-dependent endocytosis	NA	NA	0.87291	1	1
GO:0090129	positive regulation of synapse maturatio...	NA	NA	0.87291	1	1
GO:0098909	regulation of cardiac muscle cell action...	NA	NA	0.87291	1	1
GO:0120197	mucociliary clearance	NA	NA	0.87291	1	1
GO:1902425	positive regulation of attachment of mit...	NA	NA	0.87291	1	1
GO:1903361	protein localization to basolateral plas...	NA	NA	0.87291	1	1
GO:1903659	regulation of complement-dependent cytot...	NA	NA	0.87291	1	1
GO:1903980	positive regulation of microglial cell a...	NA	NA	0.87291	1	1
GO:1904669	ATP export	NA	NA	0.87291	1	1
GO:0001973	G protein-coupled adenosine receptor sig...	NA	NA	0.87292	1	1
GO:0006534	cysteine metabolic process	NA	NA	0.87292	1	1
GO:0038003	G protein-coupled opioid receptor signal...	NA	NA	0.87292	1	1
GO:0010518	positive regulation of phospholipase act...	NA	NA	0.87294	1	1
GO:0045161	neuronal ion channel clustering	NA	NA	0.87294	1	1
GO:0090279	regulation of calcium ion import	NA	NA	0.873	1	1
GO:0046688	response to copper ion	NA	NA	0.873	1	1
GO:0035137	hindlimb morphogenesis	NA	NA	0.87301	1	1
GO:0021516	dorsal spinal cord development	NA	NA	0.87312	1	1
GO:0051450	myoblast proliferation	NA	NA	0.87316	1	1
GO:0050878	regulation of body fluid levels	NA	NA	0.87319	1	1
GO:0060306	regulation of membrane repolarization	NA	NA	0.87327	1	1
GO:0070286	axonemal dynein complex assembly	NA	NA	0.87331	1	1
GO:0030239	myofibril assembly	NA	NA	0.87333	1	1
GO:0006821	chloride transport	NA	NA	0.87394	1	1
GO:0071320	cellular response to cAMP	NA	NA	0.87403	1	1
GO:0048146	positive regulation of fibroblast prolif...	NA	NA	0.87579	1	1
GO:0099645	neurotransmitter receptor localization t...	NA	NA	0.87624	1	1
GO:0043691	reverse cholesterol transport	NA	NA	0.87639	1	1
GO:0060122	inner ear receptor cell stereocilium org...	NA	NA	0.87643	1	1
GO:0008202	steroid metabolic process	NA	NA	0.87647	1	1
GO:0038084	vascular endothelial growth factor signa...	NA	NA	0.87671	1	1
GO:0014002	astrocyte development	NA	NA	0.88318	1	1
GO:0048738	cardiac muscle tissue development	NA	NA	0.88325	1	1
GO:1902742	apoptotic process involved in developmen...	NA	NA	0.88339	1	1
GO:0051412	response to corticosterone	NA	NA	0.88361	1	1
GO:2000311	regulation of AMPA receptor activity	NA	NA	0.88361	1	1
GO:0010838	positive regulation of keratinocyte prol...	NA	NA	0.88363	1	1
GO:0030949	positive regulation of vascular endothel...	NA	NA	0.88363	1	1
GO:0043306	positive regulation of mast cell degranu...	NA	NA	0.88363	1	1
GO:0050966	detection of mechanical stimulus involve...	NA	NA	0.88363	1	1
GO:0060347	heart trabecula formation	NA	NA	0.88363	1	1
GO:0070365	hepatocyte differentiation	NA	NA	0.88363	1	1
GO:0048566	embryonic digestive tract development	NA	NA	0.88376999999999994	1	1
GO:0006633	fatty acid biosynthetic process	NA	NA	0.89069	1	1
GO:0008277	regulation of G protein-coupled receptor...	NA	NA	0.89083	1	1
GO:0009636	response to toxic substance	NA	NA	0.89113	1	1
GO:0060391	positive regulation of SMAD protein sign...	NA	NA	0.89118	1	1
GO:0045214	sarcomere organization	NA	NA	0.89175	1	1
GO:0050832	defense response to fungus	NA	NA	0.89204	1	1
GO:0007193	adenylate cyclase-inhibiting G protein-c...	NA	NA	0.89351	1	1
GO:0033627	cell adhesion mediated by integrin	NA	NA	0.89414	1	1
GO:0050773	regulation of dendrite development	NA	NA	0.89457	1	1
GO:0035567	non-canonical Wnt signaling pathway	NA	NA	0.89476	1	1
GO:0006688	glycosphingolipid biosynthetic process	NA	NA	0.89488	1	1
GO:0090136	epithelial cell-cell adhesion	NA	NA	0.89496	1	1
GO:0015015	heparan sulfate proteoglycan biosyntheti...	NA	NA	0.89499	1	1
GO:0042117	monocyte activation	NA	NA	0.89499	1	1
GO:0046548	retinal rod cell development	NA	NA	0.89499	1	1
GO:0046549	retinal cone cell development	NA	NA	0.89499	1	1
GO:0060707	trophoblast giant cell differentiation	NA	NA	0.89499	1	1
GO:0070327	thyroid hormone transport	NA	NA	0.89499	1	1
GO:0140052	cellular response to oxidised low-densit...	NA	NA	0.89499	1	1
GO:1903441	protein localization to ciliary membrane	NA	NA	0.89499	1	1
GO:2001046	positive regulation of integrin-mediated...	NA	NA	0.89499	1	1
GO:2001214	positive regulation of vasculogenesis	NA	NA	0.89499	1	1
GO:0043605	amide catabolic process	NA	NA	0.89502	1	1
GO:0032026	response to magnesium ion	NA	NA	0.89503	1	1
GO:0072112	podocyte differentiation	NA	NA	0.89507	1	1
GO:0051149	positive regulation of muscle cell diffe...	NA	NA	0.89512	1	1
GO:0048333	mesodermal cell differentiation	NA	NA	0.89518	1	1
GO:0007548	sex differentiation	NA	NA	0.89535	1	1
GO:0002639	positive regulation of immunoglobulin pr...	NA	NA	0.89593	1	1
GO:0032967	positive regulation of collagen biosynth...	NA	NA	0.89681	1	1
GO:0051453	regulation of intracellular pH	NA	NA	0.89971	1	1
GO:0006883	intracellular sodium ion homeostasis	NA	NA	0.9006	1	1
GO:0010460	positive regulation of heart rate	NA	NA	0.90061	1	1
GO:0098869	cellular oxidant detoxification	NA	NA	0.9029	1	1
GO:0007605	sensory perception of sound	NA	NA	0.90546	1	1
GO:0030318	melanocyte differentiation	NA	NA	0.90599	1	1
GO:0035108	limb morphogenesis	NA	NA	0.90611	1	1
GO:0007160	cell-matrix adhesion	NA	NA	0.90649	1	1
GO:2001242	regulation of intrinsic apoptotic signal...	NA	NA	0.90805	1	1
GO:0007178	cell surface receptor protein serine/thr...	NA	NA	0.90839	1	1
GO:0048858	cell projection morphogenesis	NA	NA	0.90856	1	1
GO:1902904	negative regulation of supramolecular fi...	NA	NA	0.90877	1	1
GO:0014706	striated muscle tissue development	NA	NA	0.90891	1	1
GO:0007044	cell-substrate junction assembly	NA	NA	0.90903	1	1
GO:0034440	lipid oxidation	NA	NA	0.9091	1	1
GO:1903531	negative regulation of secretion by cell	NA	NA	0.90918	1	1
GO:0071248	cellular response to metal ion	NA	NA	0.9092	1	1
GO:0031102	neuron projection regeneration	NA	NA	0.90927	1	1
GO:0031345	negative regulation of cell projection o...	NA	NA	0.90931	1	1
GO:0035336	long-chain fatty-acyl-CoA metabolic proc...	NA	NA	0.90932	1	1
GO:0034219	carbohydrate transmembrane transport	NA	NA	0.90933	1	1
GO:0006007	glucose catabolic process	NA	NA	0.90934	1	1
GO:0070831	basement membrane assembly	NA	NA	0.90937	1	1
GO:0046321	positive regulation of fatty acid oxidat...	NA	NA	0.90938	1	1
GO:0002732	positive regulation of dendritic cell cy...	NA	NA	0.90938	1	1
GO:0020027	hemoglobin metabolic process	NA	NA	0.90939	1	1
GO:0009214	cyclic nucleotide catabolic process	NA	NA	0.90939	1	1
GO:0051177	meiotic sister chromatid cohesion	NA	NA	0.90939	1	1
GO:1901533	negative regulation of hematopoietic pro...	NA	NA	0.90939	1	1
GO:1900452	regulation of long-term synaptic depress...	NA	NA	0.9094	1	1
GO:0021979	hypothalamus cell differentiation	NA	NA	0.90941	1	1
GO:0002692	negative regulation of cellular extravas...	NA	NA	0.90942	1	1
GO:0098534	centriole assembly	NA	NA	0.90942	1	1
GO:0033262	regulation of nuclear cell cycle DNA rep...	NA	NA	0.90943	1	1
GO:0000915	actomyosin contractile ring assembly	NA	NA	0.90943	1	1
GO:0042168	heme metabolic process	NA	NA	0.90943	1	1
GO:0034154	toll-like receptor 7 signaling pathway	NA	NA	0.90943	1	1
GO:0072201	negative regulation of mesenchymal cell ...	NA	NA	0.90944	1	1
GO:1903537	meiotic cell cycle process involved in o...	NA	NA	0.90944	1	1
GO:0032376	positive regulation of cholesterol trans...	NA	NA	0.90945	1	1
GO:0021553	olfactory nerve development	NA	NA	0.90945	1	1
GO:0045602	negative regulation of endothelial cell ...	NA	NA	0.90945	1	1
GO:0003057	regulation of the force of heart contrac...	NA	NA	0.90946	1	1
GO:0090175	regulation of establishment of planar po...	NA	NA	0.90946	1	1
GO:0098914	membrane repolarization during atrial ca...	NA	NA	0.90946	1	1
GO:0048263	determination of dorsal identity	NA	NA	0.90947	1	1
GO:0048318	axial mesoderm development	NA	NA	0.90947	1	1
GO:0031622	positive regulation of fever generation	NA	NA	0.90948	1	1
GO:0060027	convergent extension involved in gastrul...	NA	NA	0.90948	1	1
GO:1990791	dorsal root ganglion development	NA	NA	0.90948	1	1
GO:0045835	negative regulation of meiotic nuclear d...	NA	NA	0.90948	1	1
GO:0072014	proximal tubule development	NA	NA	0.90948	1	1
GO:1903044	protein localization to membrane raft	NA	NA	0.90948	1	1
GO:0002238	response to molecule of fungal origin	NA	NA	0.90948	1	1
GO:0003358	noradrenergic neuron development	NA	NA	0.90948	1	1
GO:0006196	AMP catabolic process	NA	NA	0.90948	1	1
GO:0006297	nucleotide-excision repair, DNA gap fill...	NA	NA	0.90948	1	1
GO:0006710	androgen catabolic process	NA	NA	0.90948	1	1
GO:0007192	adenylate cyclase-activating serotonin r...	NA	NA	0.90948	1	1
GO:0007223	Wnt signaling pathway, calcium modulatin...	NA	NA	0.90948	1	1
GO:0007356	thorax and anterior abdomen determinatio...	NA	NA	0.90948	1	1
GO:0014809	regulation of skeletal muscle contractio...	NA	NA	0.90948	1	1
GO:0014905	myoblast fusion involved in skeletal mus...	NA	NA	0.90948	1	1
GO:0015757	galactose transmembrane transport	NA	NA	0.90948	1	1
GO:0015860	purine nucleoside transmembrane transpor...	NA	NA	0.90948	1	1
GO:0016199	axon midline choice point recognition	NA	NA	0.90948	1	1
GO:0019064	fusion of virus membrane with host plasm...	NA	NA	0.90948	1	1
GO:0019441	tryptophan catabolic process to kynureni...	NA	NA	0.90948	1	1
GO:0019640	D-glucuronate catabolic process to D-xyl...	NA	NA	0.90948	1	1
GO:0021523	somatic motor neuron differentiation	NA	NA	0.90948	1	1
GO:0021650	vestibulocochlear nerve formation	NA	NA	0.90948	1	1
